# numberOfRuns: 5 ; loopSize: 20 ; operator: GreaterThan booleanToBooleanOperator: Xor ; runtime in microseconds ; memory in bytes
Matrix_rlen,Matrix_clen,output_type,operation,value_type,value
50000,100,FP64,DoubleToBool,memory,1.22683704E8
50000,100,BITSET,DoubleToBool,memory,8.28378272E7
50000,100,BOOLEAN,DoubleToBool,memory,8.70321072E7
50000,100,FP64,BoolToBool,memory,8.1789136E7
50000,100,BITSET,BoolToBool,memory,2097382.4
50000,100,BOOLEAN,BoolToBool,memory,1.04859424E7
100000,100,FP64,DoubleToBool,runtime,204538.2
100000,100,BITSET,DoubleToBool,runtime,226224.8
100000,100,BOOLEAN,DoubleToBool,runtime,156918.2
100000,100,FP64,BoolToBool,runtime,4170356.4
100000,100,BITSET,BoolToBool,runtime,4638221.6
100000,100,BOOLEAN,BoolToBool,runtime,2406060.8
100000,100,FP64,DoubleToBool,memory,2.422213776E8
100000,100,BITSET,DoubleToBool,memory,1.635781728E8
100000,100,BOOLEAN,DoubleToBool,memory,1.719667568E8
100000,100,FP64,BoolToBool,memory,1.61480912E8
100000,100,BITSET,BoolToBool,memory,4194547.2
100000,100,BOOLEAN,BoolToBool,memory,2.09717152E7
160000,100,FP64,DoubleToBool,runtime,328443.4
160000,100,BITSET,DoubleToBool,runtime,363763.6
160000,100,BOOLEAN,DoubleToBool,runtime,251102.4
160000,100,FP64,BoolToBool,runtime,6715374.4
160000,100,BITSET,BoolToBool,runtime,7490608.6
160000,100,BOOLEAN,BoolToBool,runtime,3877582.4
160000,100,FP64,DoubleToBool,memory,3.86924856E8
160000,100,BITSET,DoubleToBool,memory,2.600471712E8
160000,100,BOOLEAN,DoubleToBool,memory,2.747272048E8
160000,100,FP64,BoolToBool,memory,2.57949904E8
160000,100,BITSET,BoolToBool,memory,4194553.6
160000,100,BOOLEAN,BoolToBool,memory,3.35546272E7
